id,RA,Dec,Target,Qual,z,z_err,N_lines,features,flag
V03Q2_2,10.6962,-9.1404,T,0,0,0,0,e0a0,0
V03Q2_20,10.6837,-9.1013,T,2,0.4472,0,5,e1a4,0
V03Q2_7,10.6705,-9.1415,T,2,0.3012,0,7,e5a2,0
V03Q2_6,10.6671,-9.1471,T,3,0.0478,0,3,e0a3,0
V03Q2_3,10.6648,-9.1563,T,2,0.3626,0,7,e3a4,0
V03Q2_5,10.6612,-9.1477,T,2,0.5439,0,7,e4a3,0
V03Q3_7,10.7688,-9.365,T,2,0.1307,0,4,e1a3,0
V03Q3_8,10.7658,-9.3508,T,2,0.0768,0,4,e3a1,0
V03Q3_9,10.7625,-9.3725,T,2,0.0799,0,3,e0a3,0
V03Q3_9,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V03Q3_25,10.7582,-9.2686,T,2,0.3655,0,8,e5a3,0
V03Q3_24,10.7549,-9.3426,T,3,0.4249,0,4,e1a3,0
V03Q3_12,10.7303,-9.3717,T,0,0,0,0,e0a0,0
V03Q3_12,10.7332,-9.3717,A,2,0.4279,0,9,e9a0,a
V03Q3_12,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V03Q3_23,10.7269,-9.2678,T,0,0,0,0,e0a0,0
V03Q3_14,10.7216,-9.3245,T,2,0.3653,0,5,e2a3,0
V03Q3_18,10.717,-9.3585,T,2,0.3841,0,12,e8a4,0
V03Q3_17,10.7137,-9.355,T,2,0.4402,0,11,e8a3,0
V03Q3_16,10.7069,-9.3536,T,2,0.0757,0,6,e5a1,0
V03Q3_22,10.702,-9.3189,T,3,0.4285,0,0,e0a0,0
V03Q3_15,10.6963,-9.2971,A,2,0.0744,0,4,e1a3,0
V03Q3_15,10.6983,-9.2971,T,0,0,0,0,e0a0,0
V03Q3_2,10.6932,-9.3113,T,2,0.399,0.0001,9,e5a4,0
V03Q3_5,10.6856,-9.3197,T,3,0.4977,0,4,e3a1,0
V03Q3_19,10.683,-9.3037,T,2,0.3893,0,12,e9a3,0
